,poste,Location,date publication,delai,genre,lien_publication,Entreprise
61,Ingénieur de Production (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-29,CDI,https://www.rekrute.com/offre-emploi-ingenieur-de-production-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-151013.html, societe generale african business services   sg abs casablanca 
62,RSSI , Casablanca (Maroc)                                ,2023-05-06,2023-07-30,CDI,https://www.rekrute.com/offre-emploi-rssi-recrutement-societe-generale-african-business-services---sg-abs-casablanca-151047.html, societe generale african business services   sg abs casablanca 
63,IT Risk Manager (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-07-30,CDI,https://www.rekrute.com/offre-emploi-it-risk-manager-hf-recrutement-societe-generale-african-business-services---sg-abs-casablanca-151049.html, societe generale african business services   sg abs casablanca 
64,Business Analyste (H/F) , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-business-analyste-hf-recrutement-groupe-labelvie---carrefour-casablanca-151220.html, groupe labelvie   carrefour casablanca 
65,Responsable Comptabilité , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-responsable-comptabilite-recrutement-bottu-sa-casablanca-151256.html, bottu sa casablanca 
66,Community Manager , EL JADIDA (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-community-manager-recrutement-euro-job-el-jadida-151255.html, euro job el jadida 
67,Responsable Ressources Humaines , El Jadida (Maroc)                                ,2023-05-06,2023-06-26,CDI,https://www.rekrute.com/offre-emploi-responsable-ressources-humaines-recrutement-euro-job-el-jadida-149836.html, euro job el jadida 
68,Ingénieur Génie Industriel H/F , CASABLANCA (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-genie-industriel-hf-recrutement-confidentiel-casablanca-151254.html, confidentiel casablanca 
69,Ingénieur d’études et développement RPG AS400 , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-ingenieur-detudes-et-developpement-rpg-as400-recrutement-eca-assurances-casablanca-151253.html, eca assurances casablanca 
70,Chargé de Recrutement (H/F) , Fès (Maroc)                                ,2023-05-06,2023-10-07,CDI,https://www.rekrute.com/offre-emploi-charge-de-recrutement-hf-recrutement-cnexia-fes-150436.html, hf 
71,Développeur Dot Net , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,CDI,https://www.rekrute.com/offre-emploi-developpeur-dot-net-recrutement-xpertize-africa-casablanca-151250.html, xpertize africa casablanca 
72,Power Apps Software Engineer , Casablanca (Maroc)                                ,2023-05-06,2023-05-08,Freelance,https://www.rekrute.com/offre-emploi-power-apps-software-engineer-recrutement-confidentiel-casablanca-151252.html, confidentiel casablanca 
